
## Torsion parameter: matched molecules ##
------------------------------------------------------------------------------------------
idx     ID      SMIRKS Pattern                                                         Number of molecules matched
*t112(1): c1ccc(cc1)S(=O)(=O)N(F)S(=O)(=O)c2ccccc2, indices: (6, 10, 18, 12)

*t113(0): Precalculated torsion scans detacted from 1st round.
    : CC(=O)c1ccc(cc1)S(=C)(=C)C              , indices: (2, 5, 12, 10)
    : Update molecules_list_dict so that it has the same intial molecules.

*t114(0): C(N)[P@@H](=O)O                         , indices: (1, 0, 4, 3)

*t115(0): Precalculated torsion scans detacted from 1st round.
    : c1ccc(cc1)P(=O)(Cl)Cl                   , indices: (3, 5, 7, 8)
    : Update molecules_list_dict so that it has the same intial molecules.

*t115(1): c1ccc(cc1)P(=N)(c2ccccc2)c3ccccc3       , indices: (12, 16, 19, 15)

*t117(0): Precalculated torsion scans detacted from 1st round.
    : CC(=O)OO                                , indices: (0, 4, 3, 8)
    : Update molecules_list_dict so that it has the same intial molecules.

*t118(0): CO/N=[N+](/C(Br)Br)\[O-]                , indices: (0, 5, 2, 3)

*t119(0): Precalculated torsion scans detacted from 1st round.
    : C1CC1NC(=O)C[N@]2C[C@@H](CO2)O          , indices: (3, 8, 11, 4)
    : Update molecules_list_dict so that it has the same intial molecules.

*t120(0): Precalculated torsion scans detacted from 1st round.
    : c1conc1C2(CC2)C(=O)O                    , indices: (1, 9, 7, 2)
    : Update molecules_list_dict so that it has the same intial molecules.

*t121(0): Precalculated torsion scans detacted from 1st round.
    : C[C@@H]1C[N@](S(=O)(=O)C1)NC            , indices: (4, 6, 5, 9)
    : Update molecules_list_dict so that it has the same intial molecules.

*t122(0): Precalculated torsion scans detacted from 1st round.
    : c1c(snn1)CNN                            , indices: (12, 5, 6, 13)
    : Update molecules_list_dict so that it has the same intial molecules.

*t123(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t123(1): Non selected since the randomly selected rotation is already included.

*t124(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t126(0): Precalculated torsion scans detacted from 1st round.
    : CC(C)C(=O)NNC=O                         , indices: (0, 5, 6, 1)
    : Update molecules_list_dict so that it has the same intial molecules.

*t127(0): Precalculated torsion scans detacted from 1st round.
    : C[C@H](c1[nH][nH]c(=O)n1)NC#N           , indices: (1, 7, 8, 2)
    : Update molecules_list_dict so that it has the same intial molecules.

*t128a(0): Precalculated torsion scans detacted from 1st round.
    : Cc1ccccc1c2[n-]nnn2                     , indices: (6, 8, 10, 11)
    : Update molecules_list_dict so that it has the same intial molecules.

*t130(0): Precalculated torsion scans detacted from 1st round.
    : c1c(snn1)CNN                            , indices: (0, 3, 4, 7)
    : Update molecules_list_dict so that it has the same intial molecules.

*t130(1): CC[C@H]1C[C@]1(c2ccc(nn2)OC)N           , indices: (2, 10, 11, 3)

*t131(0): CO/N=[N+](\C(Br)Br)/[O-]                , indices: (4, 3, 2, 5)

*t133(0): c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl, indices: (21, 27, 29, 25)

*t133(1): CC(=O)N[P@](=O)(OC)SC                   , indices: (3, 9, 8, 7)

*t134(0): C[S@](=N)(=O)NC1CC1                     , indices: (2, 5, 7, 4)

*t134(1): Precalculated torsion scans detacted from 1st round.
    : c1ccc(cc1)S(=O)(=O)N(F)S(=O)(=O)c2ccccc2, indices: (15, 19, 12, 18)
    : Update molecules_list_dict so that it has the same intial molecules.

*t135(0): Precalculated torsion scans detacted from 1st round.
    : C[S@@](=N)(=O)NC1CC1                    , indices: (3, 7, 5, 17)
    : Update molecules_list_dict so that it has the same intial molecules.

*t136(0): Precalculated torsion scans detacted from 1st round.
    : c1cc(ccc1[N+](=O)[O-])S(=O)(=O)NCl      , indices: (5, 12, 6, 18)
    : Update molecules_list_dict so that it has the same intial molecules.

*t136(1): c1ccc(c(c1)S(=O)(=O)N)S(=O)(=O)NF       , indices: (5, 14, 7, 21)

*t137(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t139(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t139(1): c1ccc(c(c1)S(=O)(=O)N)S(=O)(=O)NF       , indices: (9, 13, 6, 19)

*t140(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t142(0): Precalculated torsion scans detacted from 1st round.
    : CCS(=O)(=O)n1cc(cn1)O                   , indices: (1, 6, 10, 4)
    : Update molecules_list_dict so that it has the same intial molecules.

*t143(0): Non selected since the randomly selected rotation is already included.

*t144(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t146(0): COC(=O)Cc1cs/c(=N\S(=O)(=O)C)/[nH]1     , indices: (2, 7, 14, 5)

*t147(0): Non selected since the randomly selected rotation is already included.

*t150(0): CCOP(=O)(N)OCC                          , indices: (2, 6, 8, 5)

*t150(1): Precalculated torsion scans detacted from 1st round.
    : CC(=O)N[P@](=O)(OC)SC                   , indices: (2, 7, 8, 6)
    : Update molecules_list_dict so that it has the same intial molecules.

*t151(0): Precalculated torsion scans detacted from 1st round.
    : CCOP(=O)(N)OCC                          , indices: (2, 6, 8, 7)
    : Update molecules_list_dict so that it has the same intial molecules.

*t151(1): COP(=O)(NC(=O)C(Cl)(Cl)Cl)OC            , indices: (2, 8, 9, 7)

*t152(0): Precalculated torsion scans detacted from 1st round.
    : COP(=O)(NC(=O)C(Cl)(Cl)Cl)OC            , indices: (0, 4, 9, 7)
    : Update molecules_list_dict so that it has the same intial molecules.

*t152(1): Cn1cccc1C(=S)N=P(N(C)C)(N(C)C)N(C)C     , indices: (7, 14, 17, 16)

*t154(0): Precalculated torsion scans detacted from 1st round.
    : Cn1cccc1C(=S)N=P(N(C)C)(N(C)C)N(C)C     , indices: (7, 14, 17, 12)
    : Update molecules_list_dict so that it has the same intial molecules.

*t155(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t155(1): Precalculated torsion scans detacted. Choose one out of them.
    : CC(=O)N[P@](=O)(OC)SC                   , indices: (0, 4, 8, 6)
    : Update molecules_list_dict so that it has the same intial molecules.

*t155b(0): Cn1cccc1C(=S)N=P(N(C)C)(N(C)C)N(C)C     , indices: (4, 12, 17, 14)

*t156(0): CC(=O)OC#COC(=O)C                       , indices: (8, 0, 1, 9)

*t157(0): C[C@@H](c1[nH][nH]c(=O)n1)NC#N          , indices: (4, 9, 0, 5)

*t157(1): C1=N[C@H](C(=N1)C(=O)N)[N+]#N           , indices: (4, 7, 3, 5)

*t158(0): C(C#N)N=[N+]=[N-]                       , indices: (1, 4, 5, 2)

*t158(1): CCc1ccc(cc1)N=S=O                       , indices: (5, 8, 10, 9)

*t158(2): C=C=CN1CCCC1=O                          , indices: (2, 0, 3, 7)

In total, 87 new calculations are needed and 70 calculations will be reused:)

------------------------------------------------------------------------------------------

## Selected Torsion Coverage ##
------------------------------------------------------------------------------------------
Coverage: 130/ 163
Uncovered tids: {'t5', 't149', 't104', 't116', 't125', 't128', 't138', 't51bh', 't88', 't46', 't110', 't145', 't51c', 't129', 't45', 't148', 't111', 't58', 't51a', 't77', 't51ah', 't105', 't87', 't48', 't62', 't50', 't66', 't141', 't67', 't51b', 't51ch', 't103', 't61'}
------------------------------------------------------------------------------------------

## *Final* Number of selected torsions for each torsion parameter ##
------------------------------------------------------------------------------------------
ID      # clusters # torsions
t1               3         3
t2               2         2
t3               5         4
t4               5         1
t6               1         1
t7               1         1
t9               3         3
t10              1         1
t11              2         1
t12              1         1
t13              2         2
t14              2         1
t15              5         5
t17              2         2
t20              4         3
t18              4         2
t19              4         3
t23              3         2
t27              2         2
t28              1         1
t29              1         1
t30              1         1
t31              2         1
t32              1         1
t33              1         1
t35              1         1
t43              2         2
t44              3         3
t47              5         5
t49              1         1
t51              2         2
t52              1         1
t54              1         1
t55              2         1
t59              1         1
t60              1         1
t63              1         1
t64              1         1
t65              1         1
t68              2         2
t69              2         2
t70              4         2
t71              3         3
t72              1         1
t73              1         1
t74              3         1
t75              2         2
t79              1         1
t82              1         1
t84              1         1
t85              2         2
t86              2         2
t89              1         1
t90              1         1
t91              1         1
t93              1         1
t94              1         1
t96              2         2
t97              2         2
t98              2         2
t99              2         2
t101             2         1
t102             4         4
t106             1         1
t107             2         2
t108             2         2
t109             2         2
t112             2         2
t113             1         1
t114             1         1
t115             2         2
t117             1         1
t118             1         1
t119             1         1
t120             1         1
t121             1         1
t122             1         1
t126             1         1
t127             1         1
t128a            1         1
t130             2         2
t131             1         1
t133             2         2
t134             2         2
t135             1         1
t136             2         2
t139             2         1
t142             1         1
t146             1         1
t150             2         2
t151             2         2
t152             2         2
t154             1         1
t155             2         1
t155b            1         1
t156             1         1
t157             2         2
t158             3         3
------------------------------------------------------------------------------------------
